sr no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
463,51,10,1000.6,0,926,94.2,6,20,7,13.7
464,68,14,1000.4,0,928,95.5,6,12,8,13.74
465,39,13,1000.4,0.2,930,96.6,6,14,7,13.79
466,316,50,1001,0,932,97.4,5,20,9,13.82
467,317,33,1000.9,0,934,97.4,5,21,12,14.06
468,311,21,1000.9,0,936,90,10,7,19,15.24
469,311,21,1000.7,0,938,76.5,12,18,20,15.91
470,308,19,1000.9,0,940,74.1,11,17,19,16.11
471,304,20,1000.9,0,942,68.5,12,11,21,16.48
472,302,20,1001,0,944,66.6,14,22,21,16.94
473,304,20,1001.2,0,946,66.6,15,13,22,16.69
474,302,23,1001.3,0,948,68.6,12,14,22,16.55
475,303,19,1001.4,0,950,67.7,11,15,18,16.47
476,313,20,1001.5,0,952,69.7,11,29,22,16.65
477,308,20,1001.4,0,954,72,10,54,17,16.79
478,318,21,1001.8,0,956,75.9,12,28,26,15.63
479,317,21,1001.9,0,958,80.1,11,31,16,15.19
480,300,19,1001.9,0,960,77.5,10,38,19,15.92
481,287,23,1002.1,0,962,71.7,10,41,18,16.48
482,288,19,1002.1,0,964,67.5,12,70,20,16.76
483,289,20,1002.4,0,966,64.4,14,56,20,16.91
484,295,19,1002.6,0,968,62.7,12,307,19,17.53
485,294,18,1002.8,0,970,59.7,12,332,20,17.71
486,292,19,1002.9,0,972,60,12,443,21,18.11
487,299,21,1003,0,974,61.6,12,209,21,18.08
488,283,23,1003.2,0,976,67.8,13,154,20,17.61
489,274,22,1003.5,0,978,63.3,13,202,22,17.47
490,281,24,1003.7,0.3,980,63,13,165,26,17.35
491,294,19,1003.9,0,982,71.8,13,202,23,16.67
492,299,18,1003.9,0,984,76.3,12,282,20,16.25
493,298,18,1003.9,0,986,74.2,9,536,15,17.41
494,293,20,1004.1,0,988,68.7,9,560,16,18.3
495,294,18,1004.1,0,990,64.8,10,596,17,19.13
496,295,23,1004.2,0,992,66.2,10,685,19,19.42
497,292,22,1004.1,0,994,66.6,11,223,18,18.85
498,297,21,1004,0,996,60.9,13,260,23,19.44
499,291,22,1004.2,0,998,59.9,13,862,23,20.25
500,282,23,1004.3,0,1000,53.3,15,940,24,20.5
