ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10490503,HZ230763,04/18/2016 02:58:00 AM,063XX N SACRAMENTO AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,2413,024,50,2,05,,,2016,04/25/2016 03:51:07 PM,,,
10490504,HZ231397,04/18/2016 08:37:00 PM,052XX W MADISON ST,0460,BATTERY,SIMPLE,CTA BUS STOP,false,false,1522,015,28,25,08B,1141144,1899515,2016,04/25/2016 03:51:07 PM,41.880346918,-87.757198912,"(41.880347, -87.757199)"
10490506,HZ231087,04/18/2016 04:25:00 PM,052XX W HARRISON ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,false,false,1522,015,29,25,08B,,,2016,04/25/2016 03:51:07 PM,,,
10490508,HZ231360,04/18/2016 07:16:00 PM,079XX S LANGLEY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0624,006,6,44,18,1182274,1852436,2016,04/25/2016 03:51:07 PM,41.750301596,-87.607634773,"(41.750302, -87.607635)"
10490511,HZ230976,04/18/2016 03:15:00 PM,051XX W THOMAS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1531,015,37,25,08B,,,2016,04/25/2016 03:51:07 PM,,,
10490513,HZ231094,04/18/2016 03:15:00 PM,035XX N WOLCOTT AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1922,019,47,5,05,1163048,1923457,2016,04/25/2016 03:51:07 PM,41.945613765,-87.676095804,"(41.945614, -87.676096)"
10490514,HZ231392,04/18/2016 07:15:00 PM,014XX W WABANSIA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1433,014,32,24,06,1166698,1911754,2016,04/25/2016 03:51:07 PM,41.91342252,-87.663016067,"(41.913423, -87.663016)"
10490515,HZ231419,04/18/2016 02:00:00 PM,028XX N KIMBALL AVE,0810,THEFT,OVER $500,STREET,false,false,1412,014,35,21,06,1153220,1919021,2016,04/25/2016 03:51:07 PM,41.933642153,-87.712338224,"(41.933642, -87.712338)"
10490517,HZ231418,04/18/2016 04:07:00 PM,044XX S PULASKI RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,0821,008,14,57,11,1150424,1874895,2016,04/25/2016 03:51:07 PM,41.812610526,-87.723765071,"(41.812611, -87.723765)"
10490519,HZ231450,04/18/2016 09:18:00 PM,022XX N LONG AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"SCHOOL, PUBLIC, GROUNDS",true,false,2515,025,37,19,24,1140020,1914267,2016,04/25/2016 03:51:07 PM,41.920848791,-87.760964781,"(41.920849, -87.760965)"
